0	915.0	560.0	26.0	22.83	328220.46
1	877.0	370.0	45.0	18.77	403834.82
2	930.0	686.0	10.0	23.59	277897.80
3	963.0	593.0	24.0	35.16	202040.65
4	875.0	487.0	34.0	19.35	399266.00
5	923.0	668.0	19.0	26.84	298517.90
6	899.0	306.0	34.0	21.21	374601.20
7	914.0	457.0	37.0	22.21	337980.36
8	948.0	665.0	34.0	36.50	253660.86
9	892.0	477.0	12.0	24.17	387531.15
10	915.0	504.0	48.0	22.21	331997.47
11	920.0	647.0	14.0	24.52	308354.09
12	886.0	406.0	18.0	23.28	407865.89
13	950.0	576.0	40.0	34.89	228756.48
14	932.0	425.0	38.0	28.65	295155.97
15	887.0	512.0	35.0	18.62	385143.79
16	905.0	644.0	29.0	20.53	336842.51
17	886.0	435.0	31.0	20.10	376581.85
18	942.0	332.0	16.0	29.29	317658.70
19	917.0	690.0	21.0	24.03	309895.36
20	894.0	302.0	17.0	22.70	347626.18
21	881.0	544.0	41.0	17.26	377162.94
22	904.0	473.0	18.0	21.60	346806.78
23	897.0	650.0	27.0	19.47	342149.08
24	955.0	521.0	26.0	36.42	259721.98
25	916.0	357.0	20.0	23.62	314047.57
26	954.0	563.0	44.0	35.92	247644.40
27	918.0	431.0	17.0	23.38	300675.77
28	901.0	440.0	30.0	17.78	297782.01
29	925.0	482.0	38.0	25.85	313370.78
30	902.0	697.0	28.0	18.58	267992.95
31	933.0	460.0	39.0	28.87	263950.18
32	945.0	339.0	27.0	32.12	267152.83
33	961.0	663.0	14.0	31.70	225720.82
34	908.0	514.0	35.0	21.23	338236.10
35	879.0	621.0	25.0	18.74	388368.38
36	928.0	548.0	23.0	27.33	303888.56
37	962.0	415.0	43.0	37.75	234487.36
38	895.0	599.0	32.0	18.59	362546.06
39	891.0	445.0	36.0	19.47	386680.85
40	930.0	355.0	47.0	26.74	307755.60
41	928.0	536.0	23.0	28.36	288677.18
42	891.0	471.0	21.0	20.95	371065.95
43	888.0	683.0	34.0	18.71	368860.81
44	940.0	533.0	19.0	29.95	255109.23
45	898.0	312.0	15.0	25.20	389690.06
46	957.0	680.0	49.0	37.76	218350.59
47	878.0	614.0	41.0	17.27	388105.28
48	896.0	588.0	46.0	15.48	337767.13
49	902.0	320.0	25.0	22.07	367720.23
50	885.0	570.0	39.0	14.78	319323.51
51	938.0	604.0	16.0	29.19	292335.49
52	947.0	465.0	14.0	29.71	273018.29
53	952.0	577.0	43.0	36.35	244555.73
54	890.0	378.0	15.0	23.88	370167.27
55	880.0	530.0	11.0	24.79	409899.53
56	960.0	499.0	22.0	36.03	254333.33
57	933.0	495.0	41.0	28.14	303528.62
58	964.0	374.0	39.0	37.46	229935.46
59	905.0	452.0	32.0	20.83	352910.96
60	899.0	348.0	42.0	18.63	348212.78
61	912.0	343.0	26.0	22.66	361578.43
62	908.0	628.0	37.0	19.66	281261.06
63	895.0	490.0	42.0	18.54	373407.69
64	876.0	325.0	33.0	22.17	421393.89
65	955.0	518.0	24.0	34.37	208187.62
66	918.0	336.0	17.0	23.86	310291.86
67	922.0	655.0	36.0	23.76	308298.18
68	939.0	439.0	29.0	31.58	272588.47
69	927.0	625.0	31.0	27.37	248052.16
70	945.0	361.0	20.0	31.33	251945.28
71	949.0	345.0	16.0	30.91	274893.87
72	935.0	409.0	29.0	29.13	271066.76
73	889.0	545.0	12.0	22.39	371590.88
74	911.0	694.0	49.0	22.09	325307.89
75	882.0	382.0	12.0	26.53	378091.27
76	926.0	618.0	19.0	28.03	294671.09
77	937.0	393.0	12.0	26.18	315083.05
78	959.0	364.0	45.0	36.72	253516.93
79	936.0	583.0	32.0	30.75	284581.62
80	906.0	639.0	20.0	21.13	330670.75
81	934.0	420.0	50.0	28.21	271771.87
82	910.0	389.0	47.0	20.83	353545.30
83	943.0	453.0	46.0	31.81	282675.29
84	941.0	310.0	28.0	30.45	309828.46
85	953.0	636.0	30.0	37.07	251082.88
86	948.0	386.0	30.0	33.45	245808.21
87	944.0	611.0	48.0	31.86	281456.70
88	957.0	674.0	27.0	36.55	208264.31
89	924.0	526.0	38.0	25.23	314200.34
90	937.0	399.0	49.0	29.17	293107.10
91	921.0	507.0	23.0	24.83	324504.28
92	883.0	423.0	22.0	21.93	397816.15
93	963.0	657.0	44.0	38.10	242263.24
94	911.0	565.0	13.0	21.42	314332.44
95	958.0	552.0	45.0	37.49	251119.50
96	907.0	403.0	40.0	21.29	347403.17
97	921.0	607.0	47.0	24.23	286382.84
98	883.0	316.0	43.0	19.87	410843.16
99	875.0	300.0	10.0	31.11	428031.62
100	875.0	300.0	50.0	18.61	406709.81
101	875.0	700.0	10.0	21.84	380275.24
102	875.0	700.0	50.0	17.09	387673.59
103	965.0	300.0	10.0	26.49	290891.97
104	965.0	300.0	50.0	35.98	254822.39
105	965.0	700.0	10.0	25.87	215598.88
106	965.0	700.0	50.0	40.03	225634.23
